date,volume_string,change,change_percent,volume,change_string,change_percent_string,high,low,human_date,currency,close,open,stock
2007-08-08,"7,681,519",-0.5499999999999972,-0.48445344842772586,7681519,-0.550,-0.48%,114.6,112.26,8 Aug 2007,USD,112.98,113.8,IBM
2007-08-07,"8,022,621",-0.35999999999999943,-0.3160944771270519,8022621,-0.360,-0.32%,114.17,112.25,7 Aug 2007,USD,113.53,113.61,IBM
2007-08-06,"7,245,595",2.0,1.78746983644651,7245595,2,1.79%,113.89,111.7,6 Aug 2007,USD,113.89,112.1,IBM
2007-08-03,"9,571,245",-1.3400000000000034,-1.1834319526627248,9571245,-1.340,-1.18%,114.18,111.7,3 Aug 2007,USD,111.89,113.23,IBM
2007-08-02,"11,322,857",1.1899999999999977,1.0621206711888591,11322857,1.190,1.06%,114.05,111.5,2 Aug 2007,USD,113.23,112.25,IBM
2007-08-01,"12,390,245",1.3900000000000006,1.2562132851333037,12390245,1.390,1.26%,112.73,110.06,1 Aug 2007,USD,112.04,109.89,IBM
2007-07-31,"17,816,454",-3.8699999999999903,-3.379322389102332,17816454,-3.870,-3.38%,114.72,110.02,31 Jul 2007,USD,110.65,115.25,IBM
2007-07-30,"15,096,604",-1.1000000000000085,-0.951392492648338,15096604,-1.100,-0.95%,115.75,113.52,30 Jul 2007,USD,114.52,115.8,IBM
2007-07-27,"18,138,635",-0.9099999999999966,-0.780914785892042,18138635,-0.910,-0.78%,117.95,115.62,27 Jul 2007,USD,115.62,116.53,IBM
2007-07-26,"16,880,753",-1.5699999999999932,-1.3293818797629071,16880753,-1.570,-1.33%,118.82,115.52,26 Jul 2007,USD,116.53,117.4,IBM
2007-07-25,"11,342,618",1.9299999999999926,1.6613583541361734,11342618,1.930,1.66%,118.38,115.24,25 Jul 2007,USD,118.1,116.79,IBM
2007-07-24,"10,499,791",-0.20999999999999375,-0.18044337515036413,10499791,-0.210,-0.18%,117.0,115.02,24 Jul 2007,USD,116.17,115.76,IBM
2007-07-23,"8,043,200",1.5699999999999932,1.367476700635827,8043200,1.570,1.37%,116.43,114.85,23 Jul 2007,USD,116.38,115.25,IBM
2007-07-20,"11,706,300",-1.0499999999999972,-0.9062661833246998,11706300,-1.050,-0.91%,115.86,113.94,20 Jul 2007,USD,114.81,115.49,IBM
